Start,End,Open,High,Low,Close,Volume, Market Cap
2018-04-07,2018-04-08,371.2160207,392.9784927,371.0213268,385.1199793,884888488.9,37798560308
2018-04-06,2018-04-07,383.7112947,385.9743299,367.9928742,371.254904,1009787944,36798291024
2018-04-05,2018-04-06,380.7245858,387.8250497,369.9519278,383.3250915,1179754296,37337281864
2018-04-04,2018-04-05,417.1303483,417.5432683,374.8816254,381.434565,1216723097,38662861077
2018-04-03,2018-04-04,385.4632387,418.822134,382.7089695,416.9799683,1176274051,39862448116
2018-04-02,2018-04-03,379.5885231,395.0560635,377.1904047,385.0493782,1177476400,38071594417
2018-04-01,2018-04-02,395.8070841,399.842816,361.8915296,378.9654938,1120857999,37892461913
2018-03-31,2018-04-01,394.7894546,418.2515163,392.3983257,395.8041824,1531181139,39698674481
2018-03-30,2018-03-31,385.4467477,410.7245936,368.2208003,395.0115329,2080220630,38102292886
2018-03-29,2018-03-30,447.1825543,449.8171152,384.1020616,386.3318094,1547586594,41044531024
2018-03-28,2018-03-29,450.1996469,464.6633147,444.2572187,446.7510924,1502765439,44557940749
2018-03-27,2018-03-28,488.7960864,491.5265238,450.0088559,450.0088559,1728432754,45721377573
2018-03-26,2018-03-27,521.9669794,529.0633079,471.0599912,489.5096682,1270314694,49535190354
2018-03-25,2018-03-26,522.629661,538.0927523,512.2449557,522.1407238,1192746482,51522896367
2018-03-24,2018-03-25,545.7294864,545.7294864,526.1491303,528.2611478,1346750490,52935775643
2018-03-23,2018-03-24,539.702,540.487,511.8801146,537.0062347,1534896868,51628056724
2018-03-22,2018-03-23,563.7584986,577.7211971,522.3388732,539.2,1562987893,53961251999
2018-03-21,2018-03-22,557.4302828,591.342628,551.7017145,563.7180453,1751759718,56445142774
2018-03-20,2018-03-21,557.2502572,567.6737952,521.4066933,556.3787884,1833523844,53608422126
2018-03-19,2018-03-20,537.5131552,557.6592598,518.6941161,555.2681329,2567575936,53992178773
2018-03-18,2018-03-19,552.7665173,557.3261449,458.0400961,535.9293783,1771107526,49906095587
2018-03-17,2018-03-18,602.0583197,609.9285744,549.0669049,553.4780545,1243236489,57569955128
2018-03-16,2018-03-17,612.6588523,623.0536989,588.7424953,601.462091,1452091449,59825136135
2018-03-15,2018-03-16,614.630522,621.3012676,579.0791873,612.9265623,1934084453,59314505157
2018-03-14,2018-03-15,692.9185016,706.071697,593.9835652,614.8743471,1436840721,64964472521
2018-03-13,2018-03-14,700.2443131,716.4265964,686.9326514,694.1213285,1653450928,68258480315
2018-03-12,2018-03-13,723.3243399,742.906591,668.3125324,701.6531669,1606251384,70487759891
2018-03-11,2018-03-12,688.6791475,735.6642091,670.6138257,722.7488965,1646004324,68762795547
2018-03-10,2018-03-11,730.4173828,749.5011968,685.4630924,689.571551,1809545659,71329763287
2018-03-09,2018-03-10,704.3714761,731.7020225,648.363317,730.7113541,1987026697,67238694946
